"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @enhypenupdates: @ENHYPEN @ENHYPEN_members WALK THE LINE+Future Perfect(Pass The MIC)+Blessed-Cursed
Practice video letchugo!~

#ENHYPEN…",FALSE,0,NA,2022-12-04 21:26:19,FALSE,NA,"1599515465264828416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chicilianeoma",215,TRUE,FALSE,NA,NA
"Please retweet... 😫🙏🙏🙏#CasanovaOpenVerse @DJXCLUSIVE #casanovaopenversechallengle #MAMA2022 https://t.co/yVlegFlRBb",FALSE,4,NA,2022-12-04 21:19:38,FALSE,NA,"1599513785903243264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ASAPAMAJOEL_",2,FALSE,FALSE,NA,NA
"RT @shogetsu9339: We’re here! 

#bts #btsfanart #MAMA2022 https://t.co/wR1kvt0F1v",FALSE,0,NA,2022-12-04 21:16:18,FALSE,NA,"1599512947625054208",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sketchkoo",526,TRUE,FALSE,NA,NA
"RT @WarnerMusicPH: 2022 is for GOT7 and Ahgases 😭💚

GOT7 winning Worldwide Fans’ Choice at #MAMA2022 Awards! 🥳 

#GOT7_NANANA #GOT7 #갓세븐 @G…",FALSE,0,NA,2022-12-04 21:05:35,FALSE,NA,"1599510249773223936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Niki4_pzk",12255,TRUE,FALSE,NA,NA
"RT @sword061693: #Celine's Creative, Artistic and Image Director Hedi Slimane knew what he was doing when he appointed #ParkBoGum as the lu…",FALSE,0,NA,2022-12-04 20:59:48,FALSE,NA,"1599508793498685440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carole_lh",22,TRUE,FALSE,NA,NA
"RT @WarnerMusicPH: 2022 is for GOT7 and Ahgases 😭💚

GOT7 winning Worldwide Fans’ Choice at #MAMA2022 Awards! 🥳 

#GOT7_NANANA #GOT7 #갓세븐 @G…",FALSE,0,NA,2022-12-04 20:59:02,FALSE,NA,"1599508601755693056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GOT7_IR7",12255,TRUE,FALSE,NA,NA
"RT @hobilvrs218: Hobi's point of view 🥺
People cheering for him, waving their lightstick, enjoying his stage

Time for #JHOPEWorldtour @BIG…",FALSE,0,NA,2022-12-04 20:57:52,FALSE,NA,"1599508308045737984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","libraaqua21",19,TRUE,FALSE,NA,NA
"Finally saw jhope’s MAMA performance and this man sent me to the floor! INSTANTLY!🫠🔥Why didn’t anyone warn me that… https://t.co/6xNMcZ5fvA",FALSE,3,NA,2022-12-04 20:56:55,TRUE,NA,"1599508067845951488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trinity_Li",0,FALSE,FALSE,NA,NA
"RT @lifeandscarz: How to spot the big ones #lifeandscars #lifeandscarz #catfishfindom #MAMA2022 #weightlossjourney #kayak #fatalattraction…",FALSE,0,NA,2022-12-04 20:47:58,FALSE,NA,"1599505814968209408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","robjoz83",14,TRUE,FALSE,NA,NA
"I’m banned from the spaces I have no idea why my family is dealing with this saddened times please give us blessing 😭🙏💕 #MAMA2022",FALSE,0,NA,2022-12-04 20:41:15,FALSE,NA,"1599504127478104064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c0untrygirlsamz",0,FALSE,FALSE,NA,NA
